name,prompt,negative_prompt
Portrait Photography,"Portrait Photography, capturing {prompt} in a single frame, focusing on the individual's personality and expression","dull, lifeless, lack of emotion, uninteresting, generic, disconnected, uninspired"
Street Photography,"Street Photography, documenting {prompt} in public spaces, capturing candid moments and raw emotions","staged, artificial, posed, unauthentic, contrived, predictable, lack of spontaneity"
Landscape Photography,"Landscape Photography, showcasing {prompt} in the natural world, emphasizing scenic beauty and environmental elements","boring, monotonous, lack of composition, unappealing, uninspired, cluttered, unremarkable"
Macro Photography,"Macro Photography, exploring {prompt} up close, revealing intricate details often unnoticed by the naked eye","blurry, indistinct, lack of detail, common, unimpressive, generic, unimaginative"
Fashion Photography,"Fashion Photography, presenting {prompt} through the lens of style and glamour, highlighting clothing and accessories","outdated, unfashionable, lack of style, unattractive, poorly composed, tacky, uninspiring"
Documentary Photography,"Documentary Photography, telling {prompt} through a series of images, capturing real-life events and situations","fabricated, fictional, staged, biased, unreliable, one-dimensional, uninformative"
Abstract Photography,"Abstract Photography, expressing {prompt} through unconventional compositions, shapes, and forms, challenging traditional perceptions","mundane, ordinary, lack of creativity, unoriginal, conventional, predictable, unimaginative"
Architectural Photography,"Architectural Photography, showcasing {prompt} in structures and buildings, emphasizing design, form, and spatial relationships","dull, unremarkable, lack of composition, uninteresting, poorly framed, uninspired, cluttered"
Wildlife Photography,"Wildlife Photography, capturing {prompt} in their natural habitats, showcasing the beauty and behavior of animals","staged, unnatural, posed, disruptive, invasive, uninspired, unimpressive"
Abstract Expressionism Photography,"Abstract Expressionism Photography, conveying {prompt} through experimental compositions and unconventional techniques, evoking emotions","rigid, controlled, lack of emotion, unexpressive, predictable, sterile, unimaginative"
Candid Photography,"Candid Photography, capturing {prompt} in unposed and spontaneous moments, revealing authenticity and natural expressions","staged, posed, artificial, forced, contrived, predictable, lifeless"
Minimalist Photography,"Minimalist Photography, emphasizing simplicity and {prompt} through clean lines, minimal elements, and negative space","cluttered, chaotic, busy, overwhelming, excessive, unorganized, confusing"
Fine Art Photography,"Fine Art Photography, expressing {prompt} as a form of visual art, focusing on aesthetic value and conceptual ideas","unattractive, lacking artistic value, uninspired, common, derivative, cliché, unimaginative"
Experimental Photography,"Experimental Photography, pushing the boundaries of {prompt} through innovative techniques and unconventional approaches","unimaginative, conventional, lack of experimentation, uninspired, repetitive, uncreative, derivative"
HDR Photography,"HDR Photography, enhancing {prompt} by merging multiple exposures, capturing a wide dynamic range of light and detail","overprocessed, unrealistic, garish, unnatural, excessive, distracting, lack of subtlety"
Vintage Photography,"Vintage Photography, recreating {prompt} with a retro or nostalgic feel, often using older cameras or editing techniques","modern, unoriginal, lack of vintage charm, uninspired, out of touch, cliché, uncreative"
Black and White Photography,"Black and White Photography, emphasizing {prompt} through the absence of color, focusing on contrast, tone, and composition","dull, lack of contrast, uninspired, uninteresting, monotonous, dated, uncreative"
Night Photography,"Night Photography, capturing {prompt} in low-light conditions, highlighting the beauty of nighttime scenes","poorly lit, indistinct, lack of clarity, uninteresting, uninspired, dull, blurry"
Documentary Street Photography,"Documentary Street Photography, telling {prompt} through candid shots of everyday life in public spaces","fabricated, staged, biased, unauthentic, unreliable, one-dimensional, uninspired"
Travel Photography,"Travel Photography, showcasing {prompt} from different cultures and places, capturing the essence and diversity of the world","common, uninspired, lack of cultural representation, uninteresting, cliche, repetitive, generic"
Underwater Photography,"Underwater Photography, exploring {prompt} beneath the surface of oceans, rivers, and lakes, capturing the beauty of aquatic life","blurry, indistinct, lack of clarity, uninteresting, uninspired, generic, unimaginative"
Abstract Nature Photography,"Abstract Nature Photography, expressing {prompt} through unconventional compositions and creative techniques in natural settings","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Food Photography,"Food Photography, showcasing {prompt} in an appealing and appetizing way, emphasizing color, texture, and presentation","unappetizing, poorly presented, lack of composition, uninteresting, uninspired, generic, unimaginative"
Time-Lapse Photography,"Time-Lapse Photography, capturing {prompt} over an extended period, showcasing changes and movements through a series of frames","static, unchanging, lack of movement, uninteresting, uninspired, generic, unimaginative"
Abstract Architecture Photography,"Abstract Architecture Photography, conveying {prompt} through experimental compositions and unconventional techniques in architectural settings","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
Candid Portrait Photography,"Candid Portrait Photography, capturing {prompt} in unposed and spontaneous moments, revealing authentic and natural expressions","staged, posed, artificial, forced, contrived, predictable, lifeless"
Long Exposure Photography,"Long Exposure Photography, capturing {prompt} by keeping the shutter open for an extended period, creating blurred or streaking effects","short exposure, lack of motion, static, uninteresting, uninspired, generic, unimaginative"
Abstract Street Photography,"Abstract Street Photography, conveying {prompt} through experimental compositions and unconventional techniques in public spaces","fabricated, staged, artificial, unauthentic, contrived, predictable, uninspired"
Aerial Photography,"Aerial Photography, showcasing {prompt} from an elevated perspective, capturing landscapes, cities, and patterns from above","common, uninspired, lack of unique perspectives, uninteresting, cliche, repetitive, generic"
Sports Photography,"Sports Photography, capturing {prompt} in action, emphasizing athleticism, skill, and intensity","staged, posed, artificial, forced, contrived, predictable, lack of dynamism"
Macro Nature Photography,"Macro Nature Photography, exploring {prompt} up close in natural settings, revealing intricate details often unnoticed by the naked eye","blurry, indistinct, lack of detail, common, unimpressive, generic, unimaginative"
Abstract Wildlife Photography,"Abstract Wildlife Photography, conveying {prompt} through experimental compositions and unconventional techniques in capturing animals","rigid, controlled, lack of emotion, unexpressive, predictable, uninspired, derivative"
Documentary Nature Photography,"Documentary Nature Photography, telling {prompt} through a series of images, capturing real-life events and behaviors in the natural world","fabricated, fictional, staged, biased, unreliable, one-dimensional, uninformative"
Industrial Photography,"Industrial Photography, showcasing {prompt} in manufacturing, construction, and industrial environments, emphasizing machinery and processes","unattractive, lack of composition, uninspired, uninteresting, poorly framed, cluttered, dull"
Abstract Macro Photography,"Abstract Macro Photography, expressing {prompt} through unconventional compositions and creative techniques in extreme close-ups","rigid, controlled, lack of creativity, unexpressive, predictable, uninspired, derivative"
